doc_id,user_id,lang,submitted_at,meta_Sex,meta_Education,meta_Age,meta_Country,question_id,means,base_time_value,base_time_unit,acceptable_extra_time,acceptable_extra_time_unit
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,7,car,30,minutes,19,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,46,car,25,minutes,20,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,214,bicycle,140,minutes,5,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,411,bicycle,55,minutes,5,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,517,car,2,hours,15,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,562,walk,20,minutes,10,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,576,bicycle,20,minutes,15,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,617,walk,65,minutes,10,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,661,car,9,hours,0,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,711,walk,15,minutes,20,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,781,bicycle,25,minutes,10,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,838,walk,25,minutes,10,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,848,walk,15,minutes,15,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,1290,bicycle,10,minutes,15,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,1644,car,25,minutes,10,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,1690,car,100,minutes,10,minutes
0Zp5xBCPIYnUvKEXYJx3,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.920Z,male,secondary,20,BY,1831,bicycle,105,minutes,0,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,7,car,30,minutes,19,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,46,car,25,minutes,20,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,214,bicycle,140,minutes,5,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,411,bicycle,55,minutes,5,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,517,car,2,hours,15,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,562,walk,20,minutes,10,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,576,bicycle,20,minutes,15,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,617,walk,65,minutes,10,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,661,car,9,hours,0,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,711,walk,15,minutes,20,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,781,bicycle,25,minutes,10,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,838,walk,25,minutes,10,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,848,walk,15,minutes,15,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,1290,bicycle,10,minutes,15,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,1644,car,25,minutes,10,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,1690,car,100,minutes,10,minutes
27YXcTH6aDNrERRKFCiu,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:39.309Z,male,secondary,20,BY,1831,bicycle,105,minutes,0,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,7,car,30,minutes,19,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,46,car,25,minutes,20,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,214,bicycle,140,minutes,5,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,411,bicycle,55,minutes,5,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,517,car,2,hours,15,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,562,walk,20,minutes,10,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,576,bicycle,20,minutes,15,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,617,walk,65,minutes,10,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,661,car,9,hours,0,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,711,walk,15,minutes,20,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,781,bicycle,25,minutes,10,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,838,walk,25,minutes,10,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,848,walk,15,minutes,15,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,1290,bicycle,10,minutes,15,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,1644,car,25,minutes,10,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,1690,car,100,minutes,10,minutes
4ACDrBg6WPXRjuQR9nLe,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:40.093Z,male,secondary,20,BY,1831,bicycle,105,minutes,0,minutes
4sqnE55AvmmMatv0KoxN,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:37.861Z,male,secondary,20,BY,7,car,30,minutes,19,minutes
4sqnE55AvmmMatv0KoxN,u_mfo9t2ob_k1buxm,ru,2025-09-17T17:47:37.861Z,male,secondary,20,BY,46,car,25,minutes,20,minutes
